-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------

-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT 

-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas 

-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao 

-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) 

-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 


An eye from a wyvern.\r\nA rare component.|----|Um olho de wyvern.\r\nUm componente raro.|----|Un ojo de wyvern.\r\nUn componente singular.

A soft, delicate wing from an aeronite.\r\nA rare component.|----|Uma asa macia e delicada de aeronito.\r\nUm componente raro.|----|El ala tersa y delicada de un aeronita.\r\nUn componente singular.

The skull from a diatryma.\r\nA rare component.|----|O crânio de diatrima.\r\nUm componente raro.|----|El cráneo de una diatrima.\r\nUn componente singular.

A scale from a spiritlord.\r\nA breed component.|----|Um escama de um senhor espiritual.\r\nUm componente de uma raça.|----|Una escama procedente\r\nde un archiespectro.

Fur from a spiritlord.\r\nA breed component.|----|Penugem de um senhor espiritual.\r\nUm componente de uma raça.|----|El pelaje de un archiespectro.

The beak from a spiritlord.\r\nA rare breed component.|----|O bico de um senhor espiritual.\r\nUm componente de uma raça rara.|----|El pico de un archiespectro.\r\nUn componente singular.

A wing from a spiritlord.\r\nA rare breed component.|----|Uma asa de um senhor espiritual.\r\nUm componente de uma raça rara.|----|Un ala de archiespectro.\r\nUn componente singular.

A large beak from a spiritlord.\r\nA special breed component.|----|Um bico grande de um senhor espiritual.\r\nUm componente de uma raça especial.|----|El gigantesco pico de un archiespectro.\r\nUn componente muy especial.

A sharp tail from a spiritlord.\r\nA special breed component.|----|Uma cauda afiada de um senhor espiritual.\r\nUm componente de uma raça especial.|----|El puntiagudo aguijón de un archiespectro.\r\nUn componente muy especial.

A large, obsidian-colored wing from\r\na blackwing.\r\nA rare component.|----|Uma grande asa da cor obsidiana de\r\num asanegra.\r\nUm componente raro.|----|Un ala negra como el azabache\r\narrancada a un alanegra.\r\nUn componente singular.

A concealed horn from a spiritlord.\r\nA rare component.|----|Um chifre retrátil de um senhor espiritual.\r\nUm componente raro.|----|El cuerno retráctil de un archiespectro.\r\nUn componente singular.

The larynx of a glasya labolas.\r\nA rare component.|----|A laringe de glasya labolas.\r\nUm componente raro.|----|La laringe de un glasya labolas.\r\nUn componente singular.

A fragment from an anthrovore.\r\nA breed component.|----|Um fragmento de antropófago.\r\nUm componente de uma raça.|----|Un fragmento de antropófago.

A branch from an anthrovore.\r\nA breed component.|----|Um ramo de antropófago.\r\nUm componente de uma raça.|----|Una rama de antropófago.

Moss from an anthrovore.\r\nA rare breed component.|----|Musgo de antropófago.\r\nUm componente de uma raça rara.|----|Un puñado de musgo arrancado\r\ndel tronco de un antropófago.\r\nUn componente singular.

A large arm from an anthrovore.\r\nA rare breed component.|----|Um grande braço de antropófago.\r\nUm componente de uma raça rara.|----|El gigantesco brazo de un antropófago.\r\nUn componente singular.

The mane from an anthrovore.\r\nA special breed component.|----|A juba de antropófago.\r\nUm componente de uma raça especial.|----|La cabellera de un antropófago.\r\nUn componente muy especial.

An old trunk from an anthrovore.\r\nA special breed component.|----|Um velho tronco de antropófago.\r\nUm componente de uma raça especial.|----|El tronco de un antropófago.\r\nUn componente muy especial.

Timber from a vile plant.\r\nA rare component.|----|Madeira de uma plantavil.\r\nUm componente raro.|----|Un poco de madera de plantavil.\r\nUn componente singular.

The bulb from an anthrovore.\r\nA rare component.|----|O bulbo de antropófago.\r\nUm componente raro.|----|Un bulbo de antropófago.\r\nUn componente singular.

A medicinal seedling from a mandragora.\r\nA rare component.|----|Uma muda medicinal de uma mandrágora.\r\nUm componente raro.|----|Un brote de mandrágora con propiedades\r\nmedicinales. Un componente singular.

A fragment from a treant.\r\nA breed component.|----|Um fragmento de treant.\r\nUm componente de uma raça.|----|Un fragmento de un ent.

A branch from a treant.\r\nA breed component.|----|Um ramo de treant.\r\nUm componente de uma raça.|----|Una rama de ent.

Moss from a treant.\r\nA rare breed component.|----|Musgo de treant.\r\nUm componente de uma raça rara.|----|Un poco de musgo arrancado de un ent.\r\nUn componente singular.

A leg from a treant.\r\nA rare breed component.|----|Um perna de treant.\r\nUm componente de uma raça rara.|----|Una pierna de ent.\r\nUn componente singular.

A thick branch from a treant.\r\nA special breed component.|----|Um ramo espesso de treant.\r\nUm componente de uma raça especial.|----|Una gruesa rama de ent.\r\nUn componente muy especial.

A large splinter from a treant.\r\nA special breed component.|----|Um grande estilhaço de treant.\r\nUm componente de uma raça especial.|----|Una enorme astilla procedente de un ent.\r\nUn componente muy especial.

Timber from a vicious plant.\r\nA rare component.|----|Madeira de uma planta perversa.\r\nUm componente raro.|----|Un poco de madera de matojo agresivo.\r\nUn componente singular.

Timber from a feralwood.\r\nA rare component.|----|Madeira de uma planta feroz.\r\nUm componente raro.|----|Un poco de madera de leño montés.\r\nUn componente singular.

Timber from a spiritwood.\r\nA rare component.|----|Madeira de uma planta espectral.\r\nUm componente raro.|----|Un poco de madera de leño espectral.\r\nUn componente singular.

Timber from a godwood.\r\nA rare component.|----|Madeira de uma planta celestial.\r\nUm componente raro.|----|Un poco de madera de leño celeste.\r\nUn componente singular.

A bristle from an oculus.\r\nA breed component.|----|Uma espinha de um oculus.\r\nUm componente de uma raça.|----|Una espina de oculus.

Optical tissue from an oculus.\r\nA rare breed component.|----|Tecido ótico de um oculus.\r\nUm componente de uma raça rara.|----|El tejido de los nervios ópticos del oculus.\r\nUn componente singular.

A thin membrane from an oculus.\r\nA special breed component.|----|Uma fina membrana de um oculus.\r\nUm componente de uma raça especial.|----|Un delicado tejido membranoso\r\nprocedente de un oculus.\r\nUn componente muy especial.

A tooth from an oculus.\r\nA special breed component.|----|Um dente de um oculus.\r\nUm componente de uma raça especial.|----|Un diente de aspecto amenazador\r\narrancado de las fauces de un oculus.\r\nUn componente muy especial.

A cornea from an evil eye.\r\nA rare component.|----|Uma córnea de uma olho maligno.\r\nUm componente raro.|----|La córnea de un mal de ojo.\r\nUn componente singular.

A cornea from a manhunter.\r\nA rare component.|----|Uma córnea de um caçahomens.\r\nUm componente raro.|----|La córnea de un cazahombres.\r\nUn componente singular.

A cornea from a death.\r\nA rare component.|----|Uma córnea de morte.\r\nUm componente raro.|----|La córnea de un segador de almas.\r\nUn componente singular.

A scale from a dragon.\r\nA breed component.|----|Uma escama de um dragão.\r\nUm componente de uma raça.|----|Una escama de dragón.

A talon from a dragon.\r\nA breed component.|----|Uma garra de dragão.\r\nUm componente de uma raça.|----|Una garra de dragón.

A large bone from a dragon.\r\nA rare breed component.|----|Um grande osso de dragão.\r\nUm componente de uma raça rara.|----|Un gran hueso de dragón.\r\nUn componente singular.

A large wing from a dragon.\r\nA rare breed component.|----|Uma grande asa de dragão.\r\nUm componente de uma raça rara.|----|Una gran ala de dragón.\r\nUn componente singular.

An inverted scale from a dragon.\r\nA special breed component.|----|Uma escama invertida de dragão.\r\nUm componente de uma raça especial.|----|Una escama invertida de dragón.\r\nUn componente muy especial.

A bristly mane from a dragon.\r\nA special breed component.|----|Uma juba eriçada de dragão.\r\nUm componente de uma raça especial.|----|La cabellera hirsuta de un dragón.\r\nUn componente muy especial.

Liver from a dragon.\r\nA rare component.|----|Fígado de dragão.\r\nUm componente raro.|----|El hígado de un dragón.\r\nUn componente singular.

A talon from an abelisk's wing.\r\nA rare component.|----|Uma garra de uma asa de obelisco.\r\nUm componente raro.|----|Una garra del ala de un abelisco.\r\nUn componente singular.

A tough husk from a brynhildr.\r\nA rare component.|----|Um couro endurecido de brunhild.\r\nUm componente raro.|----|Una piel sumamente resistente\r\ndesechada por una brunhild.\r\nUn componente singular.

A large scale from a dread dragon.\r\nA rare component.|----|Uma grande escama de um dragão terrível.\r\nUm componente raro.|----|Una gigantesca escama de un dragón.\r\nUn componente singular.

The sternum from a noble abelisk.\r\nA rare component.|----|O esterno de um obelisco régio.\r\nUm componente raro.|----|El esternón de un noble abelisco.\r\nUn componente singular.

A divine wing from a glorious brynhildr.\r\nA rare component.|----|Uma asa divina de um brunhild glorioso.\r\nUm componente raro.|----|La brillante ala de una brunhild gloriosa.\r\nUn componente singular.

Bone from a colossus.\r\nA breed component.|----|Osso de um colosso.\r\nUm componente de uma raça.|----|Un hueso de coloso.

Rawhide from a colossus.\r\nA breed component.|----|Um pedaço de couro de um colosso.\r\nUm componente de uma raça.|----|Un fragmento de cuero de un coloso.

A retral shell from a colossus.\r\nA rare breed component.|----|Uma concha dorsal de um colosso.\r\nUm componente de uma raça rara.|----|La concha dorsal de un coloso.\r\nUn componente singular.

Tanned hide from a colossus.\r\nA rare breed component.|----|Pele curtida de um colosso.\r\nUm componente de uma raça rara.|----|La piel curtida de un coloso.\r\nUn componente singular.

The skull from a colossus.\r\nA special breed component.|----|O crânio de um colosso.\r\nUm componente de uma raça especial.|----|El cráneo de un coloso.\r\nUn componente muy especial.

A large bristle from a colossus.\r\nA special breed component.|----|Uma enorme espinha de um colosso.\r\nUm componente de uma raça especial.|----|Una enorme púa de coloso.\r\nUn componente muy especial.

A ruined axe that once belonged\r\nto a giant.\r\nA rare component.|----|Um machado em ruínas que pertenceu\r\na um gigante.\r\nUm componente raro.|----|Un hacha destrozada que perteneció\r\na un gigante. Un componente singular.

Rotting armor that once belonged\r\nto a barbarossa.\r\nA rare component.|----|Armadura apodrecida que pertenceu\r\na um barbarossa.\r\nUm componente raro.|----|Una armadura mohosa que perteneció\r\na un barbarroja. Un componente singular.

A battered helm that once belonged\r\nto an ancbolder.\r\nA rare component.|----|Um elmo danificado que pertenceu\r\na um ancbolder.\r\nUm componente raro.|----|Un yelmo abollado que perteneció\r\na un ancbolder. Un componente singular.

Hide from an albic creature.\r\nA breed component.|----|Pele de uma criatura albina.\r\nUm componente de uma raça.|----|La piel de una criatura albina.

Tanned hide from an albic creature.\r\nA rare breed component.|----|Pele curtida de uma criatura albina.\r\nUm componente de uma raça rara.|----|Una piel curtida de una criatura albina.\r\nUn componente singular.

Circular cut hide from an albic creature.\r\nA special breed component.|----|Um fragmento circular de pele de uma criatura albina.\r\nUm componente de uma raça especial.|----|Un fragmento circular de piel\r\nprocedente de una criatura albina.\r\nUn componente muy especial.

A large ear from an albic creature.\r\nA very sturdy component.|----|Uma grande orelha de uma criatura albina.\r\nUm componente muito resistente.|----|Una gran oreja procedente\r\nde una criatura albina.\r\nUn componente muy resistente.

Liver from an albic qsiti.\r\nA rare component.|----|Fígado de um qsiti albino.\r\nUm componente raro.|----|El hígado de un qsiti albino.\r\nUn componente singular.

A talon from a phantom.\r\nA breed component.|----|Uma garra de um espectro.\r\nUm componente de uma raça.|----|Una garra de espectro.

A wing from a phantom.\r\nA breed component.|----|Uma asa de um espectro.\r\nUm componente de uma raça.|----|Un ala de espectro.

A tail from a phantom.\r\nA rare breed component.|----|Uma cauda de um espectro.\r\nUm componente de uma raça rara.|----|La cola de un espectro.\r\nUn componente singular.

A husk from a phantom.\r\nA rare breed component.|----|Uma casca de um espectro.\r\nUm componente de uma raça rara.|----|Unos restos de ectoplasma\r\nobtenidos de un espectro.\r\nUn componente singular.

A thin wing from a phantom.\r\nA special breed component.|----|Uma fina asa de um espectro.\r\nUm componente de uma raça especial.|----|Un ala de espectro fina y delicada.\r\nUn componente muy especial.

A tough husk from a phantom.\r\nA special breed component.|----|Uma casca dura de um espectro.\r\nUm componente de uma raça especial.|----|Unos restos de ectoplasma\r\nparticularmente sólidos.\r\nUn componente singular.

Peach-colored hide from Harpylia.\r\nA rare component.|----|Pele cor de pêssego de arpília.\r\nUm componente raro.|----|Una piel de arpilia, de un color parecido\r\nal del melocotón. Un componente singular.

Green skin taken from Anima.\r\nA rare component.|----|Pele verde retirada de Anima.\r\nUm componente raro.|----|Un fragmento de piel verde de un ánima.\r\nUn componente singular.

A fragment of the Cyclops.\r\nA sturdy breed component.|----|Um fragmento do Ciclope.\r\nUm componente de uma raça robusta.|----|Un fragmento del Cíclope.\r\nUn componente muy resistente.

A clay idol of a creature that lived long ago.\r\nA rare component.|----|Um ídolo de argila de uma criatura que viveu há muito tempo.\r\nUm componente raro.|----|Un tótem de arcilla singular que representa\r\nuna criatura extinguida hace tiempo.

A fragment of the Lob Omen.\r\nA sturdy breed component.|----|Um fragmento de Lob Omen.\r\nUm componente de uma raça robusta.|----|Un fragmento del Lob Omen.\r\nUn componente muy resistente.

A perfectly spherical stone orb.\r\nA rare component.|----|Uma orbe de pedra perfeitamente esférica.\r\nUm componente raro.|----|Un orbe de piedra que destaca\r\npor su forma perfectamente esférica.\r\nUn componente singular.

A fragment from Namul Sin &\r\nNiram Sin.\r\nA sturdy breed component.|----|Um fragmento de Namul Sin &\r\nNiram Sin.\r\nUm componente de uma raça robusta.|----|Un fragmento del Namul Sin y el Niram Sin.\r\nUn componente muy resistente.

A flawless skull figurine made from crystal.\r\nA rare component.|----|Uma estatueta impecável de caveira feita de cristal.\r\nUm componente raro.|----|Una exquisita estatuilla de cristal en forma\r\nde cráneo. Un componente singular.

A splinter from the Gates of Hell.\r\nA breed component with lots of\r\nmystic energy.|----|Um estilhaço dos Portões do Inferno.\r\nUm componente de uma raça com muita\r\nenergia mística.|----|Una esquirla del Cancerbero.\r\nSe trata de un componente\r\ncargado de energía mística.

An agent used in summoning\r\nthe Gates of Hell.\r\nA rare component.|----|Um agente usado para invocar\r\nos Portões do Inferno.\r\nUm componente raro.|----|Un pergamino que se utiliza para convocar\r\nal Cancerbero. Un componente singular.

A fragment from the Fiery Idol.\r\nA breed component with lots of\r\nmystic energy.|----|Um fragmento do Ídolo Ardente.\r\nUm componente de uma raça com muita\r\nenergia mística.|----|Un fragmento del tótem ardiente.\r\nSe trata de un componente cargado\r\nde energía mística.

An agent used in summoning the Fiery Idol.\r\nA rare component.|----|Um agente usado para invocar o Ídolo Ardente.\r\nUm componente raro.|----|Un talismán que se utiliza para convocar\r\nal tótem ardiente. Un componente singular.

A fragment from the Icy Idol.\r\nA breed component with lots of\r\nmystic energy.|----|Um fragmento do Ídolo Glacial.\r\nUm componente de uma raça com muita\r\nenergia mística.|----|Un fragmento del tótem glacial.\r\nSe trata de un componente cargado\r\nde energía mística.

An agent used in summoning the Icy Idol.\r\nA rare component.|----|Um agente usado para invocar o Ídolo Glacial.\r\nUm componente raro.|----|Un talismán que se utiliza para convocar\r\nal tótem glacial. Un componente singular.

A fragment from the Charged Idol.\r\nA breed component with lots of\r\nmystic energy.|----|Um fragmento do Ídolo Divino.\r\nUm componente de uma raça com muita\r\nenergia mística.|----|Un fragmento del tótem divino.\r\nSe trata de un componente cargado\r\nde energía mística.

An agent used in summoning\r\nthe Charged Idol.\r\nA rare component.|----|Um agente usado para invocar\r\no Ídolo Divino.\r\nUm componente raro.|----|Un talismán que se utiliza para convocar\r\nal tótem divino. Un componente singular.

A ring imbued with the power of the gods\r\nof the end of everything.\r\nA rare component.|----|Um anel imbuído com o poder dos deuses\r\ndo fim de todas as coisas.\r\nUm componente raro.|----|Un anillo singular dotado\r\ndel poder del apocalipsis.

A figurine representing Snievan's loyalty.\r\nA rare component.|----|Uma figura representando a lealdade de Snievan.\r\nUm componente raro.|----|Una estatuilla que simboliza la lealtad\r\nde Snievan, uno de los siete generales.\r\nUn componente singular.

A figurine representing Zuido's loyalty.\r\nA rare component.|----|Uma figura representando a lealdade de Zuido.\r\nUm componente raro.|----|Una estatuilla que simboliza la lealtad\r\nde Zuido, uno de los siete generales.\r\nUn componente singular.

A figurine representing Ludope's loyalty.\r\nA rare component.|----|Uma figura representando a lealdade de Ludope.\r\nUm componente raro.|----|Una estatuilla que simboliza la lealtad\r\nde Ludope, uno de los siete generales.\r\nUn componente singular.

A figurine representing Hannah's loyalty.\r\nA rare component.|----|Uma figura representando a lealdade de Hannah.\r\nUm componente raro.|----|Una estatuilla que simboliza la lealtad\r\nde Hannah, uno de los siete generales.\r\nUn componente singular.

A figurine representing Milton's loyalty.\r\nA rare component.|----|Uma figura representando a lealdade de Milton.\r\nUm componente raro.|----|Una estatuilla que simboliza la lealtad\r\nde Milton, uno de los siete generales.\r\nUn componente singular.

A figurine representing Hinnah's loyalty.\r\nA rare component.|----|Uma figura representando a lealdade de Hinnah.\r\nUm componente raro.|----|Una estatuilla que simboliza la lealtad\r\nde Hinnah, uno de los siete generales.\r\nUn componente singular.

A figurine representing Young's loyalty.\r\nA rare component.|----|Uma figura representando a lealdade de Young.\r\nUm componente raro.|----|Una estatuilla que simboliza la lealtad\r\nde Young, uno de los siete generales.\r\nUn componente singular.

Capture Monsters dummy help|----|Capture Monsters dummy help|----|Ayuda: monstruos capturados

A captured Jhana Fighter.\r\nIt can be sold at a high price\r\nand is best used for Jhana Arrabbiata.|----|Um guerreiro jhana que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com macarrão ao molho picante.|----|Un guerrero jhana capturado.\r\nPuedes venderlo a muy buen precio\r\ny está riquísimo con salsa picante.

A captured Jhana Shaman.\r\nIt can be sold at a high price\r\nand is best used for Jhana Amatriciana.|----|Um xamã jhana que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com macarrão à matriciana.|----|Un chamán jhana capturado.\r\nPuedes venderlo a muy buen precio\r\ny está riquísimo a la vinagreta.

A captured Jhana Magus.\r\nIt can be sold at a high price\r\nand is best used for Jhana Champignon.|----|Um mago jhana que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com macarrão ao molho funghi.|----|Un místico jhana capturado.\r\nPuedes venderlo a muy buen precio\r\ny está riquísimo al pesto.

A captured Jhana Archfighter.\r\nIt can be sold at a high price\r\nand is best used for Jhana Pescatora.|----|Um herói jhana que foi capturado.\r\nPode ser vendido por um bom preço\r\ne combina muito macarrão acompanhado de frutos do mar.|----|Un héroe jhana capturado.\r\nPuedes venderlo a muy buen precio\r\ny está riquísimo a la marinera.

A captured Jhana Archshaman.\r\nIt can be sold at a high price\r\nand is best used for Jhana Marinara.|----|Um chefe xamã jhana que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com macarrão à carbonara.|----|Un chamán jefe jhana capturado.\r\nPuedes venderlo a muy buen precio\r\ny está riquísimo a la carbonara.

A captured Jhana Archmagus.\r\nIt can be sold at a high price\r\nand is best used for Jhana Bolognese.|----|Um arquimago jhana que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com macarrão ao molho bolonhesa.|----|Un archimístico jhana capturado.\r\nPuedes venderlo a muy buen precio\r\ny está riquísimo a la boloñesa.

A captured Tsuchigumo.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um tsuchigumo que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Una tsuchigumo capturada.\r\nPuedes venderla a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Yellowcap Vanguard.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um ogro de capuz amarelo que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un ocregabán capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Bloodypaw.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um pata sangrenta que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un zarpasangrienta capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Sarutahiko.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um sarutahiko que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un sarutahiko capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Yellowcap Soldier.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um soldado de capuz amarelo que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un ocregabán soldado capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Ravenhowl.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um corvo uivante que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un cuervoraz capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Malevolence.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um malevolência que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Una malevolencia capturada.\r\nPuedes venderla a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Redcap Champion.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um campeão de capuz vermelho que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un granagabán capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Hypnos.\r\nIt can be sold at a high price\r\nand is best used for pizza.|----|Um hipnos que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com pizza.|----|Un hipnos capturado.\r\nPuedes venderlo a muy buen precio\r\ny queda de maravilla en la pizza.

A captured Raginos.\r\nIt can be sold at a high price\r\nand is best used for risotto.|----|Um raginos que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com risoto.|----|Un raginos capturado.\r\nPuedes venderlo a muy buen precio\r\ny queda de maravilla en el arroz.

A captured Glagonos.\r\nIt can be sold at a high price\r\nand is best used in panini.|----|Um glagonos que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com torradas.|----|Un glagonos capturado.\r\nPuedes venderlo a muy buen precio\r\ny queda de maravilla asado.

A captured Pygmalion.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um pigmalion que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un pigmalión capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Jade Golem.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um golem de jade que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un golem de jade capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Suicide.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um kamikaze que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un kamikaze capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Nucadora.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um nucadora que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Una desnucadora capturada.\r\nPuedes venderla a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Thanatos.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um thanatos que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un thanatos capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Prometheus.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um prometheus que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un prometheus capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Daedalus.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um daedalus que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un hyperion capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Madman.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um demente que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un demente capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Raptor.\r\nIt can be sold at a high price\r\nand is best used for dolce.|----|Um carniceiro que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com  doces.|----|Un carroñero capturado.\r\nPuedes venderlo a muy buen precio\r\no zampártelo con magdalenas.

A captured Wild Raptor.\r\nIt can be sold at a high price\r\nand is best used for tiramisu.|----|Um carniceiro selvagem que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com tiramisu.|----|Un carroñero feroz capturado.\r\nPuedes venderlo a muy buen precio\r\no degustarlo con tiramisú.

A captured Bullfighter.\r\nIt can be sold at a high price\r\nand is best used for gelato.|----|Um matador que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com sorvete.|----|Un matador capturado.\r\nPuedes venderlo a muy buen precio\r\no disfrutarlo con un helado.

A captured King Raptor.\r\nIt can be sold at a high price\r\nand is best used for panforte.|----|Um carniceiro soberano que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com panetone.|----|Un rey carroñero capturado.\r\nPuedes venderlo a muy buen precio\r\no usarlo para rellenar bizcochos.

(REPETIDO)A captured Wild Raptor.\r\nIt can be sold at a high price\r\nand is best used for tiramisu.|----|Um carniceiro selvagem que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com tiramisu.|----|Un carroñero feroz capturado.\r\nPuedes venderlo a muy buen precio\r\no degustarlo con tiramisú.

(REPETIDO)A captured Bullfighter.\r\nIt can be sold at a high price\r\nand is best used for gelato.|----|Um matador que foi capturado.\r\nPode ser vendido por um bom preço\r\nou então preparado com sorvete.|----|Un matador capturado.\r\nPuedes venderlo a muy buen precio\r\no disfrutarlo con un helado.

A captured Bloodthirsty Beast.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Uma fera sanguinária que foi que foi capturada.\r\nPode ser vendida por um bom preço\r\ne seu sabor é indescritível.|----|Una bestia voraz capturada.\r\nPuedes venderla a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Carnotaurus.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um carnotauro que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un carnotauro capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Jota.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um jota que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un minota capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Miura.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um miúra que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un miura capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

A captured Islero.\r\nIt can be sold at a high price\r\nand the taste is indescribable.|----|Um islero que foi capturado.\r\nPode ser vendido por um bom preço\r\ne seu sabor é indescritível.|----|Un islero capturado.\r\nPuedes venderlo a muy buen precio\r\ny tiene un sabor indescriptible.

